date,away_team,home_team,market_total,over_odds,under_odds,source
2026-05-27,SEA,ATH,,,,
2026-05-27,ARI,SFG,,,,
2026-05-27,PHI,SDP,,,,
2026-05-27,TBR,BAL,,,,
2026-05-27,LAA,DET,,,,
2026-05-27,CHC,PIT,,,,
2026-05-27,ATL,BOS,,,,
2026-05-27,CIN,NYM,,,,
2026-05-27,MIN,CHW,,,,
2026-05-27,NYY,KCR,,,,
2026-05-27,HOU,TEX,,,,
2026-05-27,COL,LAD,,,,
2026-05-28,LAA,DET,,,,
2026-05-28,MIN,CHW,,,,
2026-05-28,ATL,BOS,,,,
2026-05-28,TOR,BAL,,,,
2026-05-28,CHC,PIT,,,,
2026-05-28,HOU,TEX,,,,
2026-05-29,ATL,CIN,,,,
2026-05-29,SDP,WSN,,,,
2026-05-29,MIN,PIT,,,,
2026-05-29,TOR,BAL,,,,
2026-05-29,BOS,CLE,,,,
2026-05-29,LAA,TBR,,,,
2026-05-29,MIA,NYM,,,,
2026-05-29,CHC,STL,,,,
2026-05-29,DET,CHW,,,,
2026-05-29,KCR,TEX,,,,
2026-05-29,MIL,HOU,,,,
2026-05-29,SFG,COL,,,,
2026-05-29,NYY,ATH,,,,
2026-05-29,ARI,SEA,,,,
2026-05-29,PHI,LAD,,,,
2026-05-30,DET,CHW,,,,
2026-05-30,SDP,WSN,,,,
2026-05-30,KCR,TEX,,,,
2026-05-30,TOR,BAL,,,,
2026-05-30,MIN,PIT,,,,
2026-05-30,BOS,CLE,,,,
2026-05-30,LAA,TBR,,,,
2026-05-30,MIA,NYM,,,,
2026-05-30,MIL,HOU,,,,
2026-05-30,CHC,STL,,,,
2026-05-30,ATL,CIN,,,,
2026-05-30,SFG,COL,,,,
2026-05-30,NYY,ATH,,,,
2026-05-30,ARI,SEA,,,,
2026-05-30,PHI,LAD,,,,
2026-05-31,TOR,BAL,,,,
2026-05-31,SDP,WSN,,,,
2026-05-31,MIN,PIT,,,,
2026-05-31,BOS,CLE,,,,
2026-05-31,LAA,TBR,,,,
2026-05-31,ATL,CIN,,,,
2026-05-31,MIA,NYM,,,,
2026-05-31,DET,CHW,,,,
2026-05-31,MIL,HOU,,,,
2026-05-31,KCR,TEX,,,,
2026-05-31,SFG,COL,,,,
2026-05-31,NYY,ATH,,,,
2026-05-31,ARI,SEA,,,,
2026-05-31,PHI,LAD,,,,
2026-05-31,CHC,STL,,,,
2026-06-01,DET,TBR,,,,
2026-06-01,MIA,WSN,,,,
2026-06-01,KCR,CIN,,,,
2026-06-01,CHW,MIN,,,,
2026-06-01,SFG,MIL,,,,
2026-06-01,TEX,STL,,,,
2026-06-01,COL,LAA,,,,
2026-06-01,LAD,ARI,,,,
2026-06-01,NYM,SEA,,,,
2026-06-02,DET,TBR,,,,
2026-06-02,SDP,PHI,,,,
2026-06-02,BAL,BOS,,,,
2026-06-02,MIA,WSN,,,,
2026-06-02,CLE,NYY,,,,
2026-06-02,KCR,CIN,,,,
2026-06-02,TOR,ATL,,,,
2026-06-02,CHW,MIN,,,,
2026-06-02,SFG,MIL,,,,
2026-06-02,TEX,STL,,,,
2026-06-02,ATH,CHC,,,,
2026-06-02,PIT,HOU,,,,
2026-06-02,COL,LAA,,,,
2026-06-02,LAD,ARI,,,,
2026-06-02,NYM,SEA,,,,
2026-06-03,MIA,WSN,,,,
2026-06-03,DET,TBR,,,,
2026-06-03,CHW,MIN,,,,
2026-06-03,NYM,SEA,,,,
2026-06-03,SDP,PHI,,,,
2026-06-03,BAL,BOS,,,,
2026-06-03,CLE,NYY,,,,
2026-06-03,KCR,CIN,,,,
2026-06-03,TOR,ATL,,,,
2026-06-03,SFG,MIL,,,,
2026-06-03,TEX,STL,,,,
2026-06-03,ATH,CHC,,,,
2026-06-03,PIT,HOU,,,,
2026-06-03,COL,LAA,,,,
2026-06-03,LAD,ARI,,,,
2026-06-04,SDP,PHI,,,,
2026-06-04,BAL,BOS,,,,
2026-06-04,CLE,NYY,,,,
2026-06-04,SFG,MIL,,,,
2026-06-04,TOR,ATL,,,,
2026-06-04,KCR,MIN,,,,
2026-06-04,ATH,CHC,,,,
2026-06-04,PIT,HOU,,,,
2026-06-04,LAD,ARI,,,,
2026-06-05,SFG,CHC,,,,
2026-06-05,SEA,DET,,,,
2026-06-05,CHW,PHI,,,,
2026-06-05,BOS,NYY,,,,
2026-06-05,BAL,TOR,,,,
2026-06-05,TBR,MIA,,,,
2026-06-05,PIT,ATL,,,,
2026-06-05,ATH,HOU,,,,
2026-06-05,CIN,STL,,,,
2026-06-05,CLE,TEX,,,,
2026-06-05,KCR,MIN,,,,
2026-06-05,MIL,COL,,,,
2026-06-05,WSN,ARI,,,,
2026-06-05,NYM,SDP,,,,
2026-06-05,LAA,LAD,,,,
2026-06-06,SEA,DET,,,,
2026-06-06,KCR,MIN,,,,
2026-06-06,CIN,STL,,,,
2026-06-06,SFG,CHC,,,,
2026-06-06,BAL,TOR,,,,
2026-06-06,CHW,PHI,,,,
2026-06-06,WSN,ARI,,,,
2026-06-06,ATH,HOU,,,,
2026-06-06,PIT,ATL,,,,
2026-06-06,TBR,MIA,,,,
2026-06-06,CLE,TEX,,,,
2026-06-06,MIL,COL,,,,
2026-06-06,LAA,LAD,,,,
2026-06-06,NYM,SDP,,,,
2026-06-07,PIT,ATL,,,,
2026-06-07,CHW,PHI,,,,
2026-06-07,BOS,NYY,,,,
2026-06-07,BAL,TOR,,,,
2026-06-07,SEA,DET,,,,
2026-06-07,TBR,MIA,,,,
2026-06-07,ATH,HOU,,,,
2026-06-07,KCR,MIN,,,,
2026-06-07,CIN,STL,,,,
2026-06-07,CLE,TEX,,,,
2026-06-07,MIL,COL,,,,
2026-06-07,WSN,ARI,,,,
2026-06-07,LAA,LAD,,,,
2026-06-07,NYM,SDP,,,,
2026-06-07,SFG,CHC,,,,
2026-06-08,SEA,BAL,,,,
2026-06-08,BOS,TBR,,,,
2026-06-08,NYY,CLE,,,,
2026-06-08,PHI,TOR,,,,
2026-06-08,HOU,LAA,,,,
2026-06-08,CIN,SDP,,,,
2026-06-08,WSN,SFG,,,,
2026-06-08,MIL,ATH,,,,
2026-06-09,SEA,BAL,,,,
2026-06-09,LAD,PIT,,,,
2026-06-09,BOS,TBR,,,,
2026-06-09,MIN,DET,,,,
2026-06-09,ARI,MIA,,,,
2026-06-09,NYY,CLE,,,,
2026-06-09,PHI,TOR,,,,
2026-06-09,STL,NYM,,,,
2026-06-09,TEX,KCR,,,,
2026-06-09,ATL,CHW,,,,
2026-06-09,CHC,COL,,,,
2026-06-09,HOU,LAA,,,,
2026-06-09,CIN,SDP,,,,
2026-06-09,WSN,SFG,,,,
2026-06-09,MIL,ATH,,,,
2026-06-10,BOS,TBR,,,,
2026-06-10,NYY,CLE,,,,
2026-06-10,WSN,SFG,,,,
2026-06-10,CIN,SDP,,,,
2026-06-10,SEA,BAL,,,,
2026-06-10,LAD,PIT,,,,
