date,away_team,home_team,market_total,commence_time,model_total,bet_side,edge_label,best_ev,odds,actual_total,away_runs,home_runs,result,profit_units
2026-07-04,TOR,SEA,7.5,2026-07-04T20:11:00Z,8.8737155661785,over,watch,0.15407513434123343,-115,11,0,11,win,0.8696
2026-07-05,BAL,CIN,9.5,2026-07-05T17:05:00Z,10.624622898151857,over,watch,0.13412553403961947,-111,5,2,3,loss,-1.0000
2026-07-05,BOS,LAA,8.0,2026-07-06T01:31:00Z,12.189439017011637,over,watch,0.5628412476127163,-110,12,7,5,win,0.9091
2026-07-05,MIA,ATH,9.5,2026-07-05T20:31:00Z,8.386319298940247,under,watch,0.12758159789504342,-112,17,9,8,loss,-1.0000
2026-07-05,MIL,ARI,9.0,2026-07-05T20:00:00Z,8.153405874599931,under,watch,0.1188132313456578,-105,5,3,2,win,0.9524
2026-07-05,MIN,NYY,8.5,2026-07-05T17:35:00Z,9.501092959549515,over,watch,0.14983198177278734,-104,7,6,1,loss,-1.0000
2026-07-05,NYM,ATL,9.0,2026-07-05T16:30:00Z,8.208094938018222,under,lean,0.09465735442655099,-108,19,10,9,loss,-1.0000
2026-07-05,PHI,KCR,9.5,2026-07-05T19:01:00Z,12.25912104003496,over,watch,0.3306265892514251,-120,7,2,5,loss,-1.0000
2026-07-05,SDP,LAD,9.5,2026-07-05T23:21:00Z,11.604093144536234,over,watch,0.24963027380967562,-118,7,5,2,loss,-1.0000
2026-07-05,SFG,COL,13.0,2026-07-05T20:00:00Z,14.671024432720635,over,watch,0.24741502241530622,-106,13,6,7,push,0.0000
2026-07-05,STL,CHC,8.0,2026-07-05T18:30:00Z,10.5279034536433,over,watch,0.3712118461303089,-107,10,4,6,win,0.9346
2026-07-06,ARI,SDP,8.5,2026-07-07T01:41:00Z,10.667920242792336,over,watch,0.28920231149354514,-112,8,8,0,loss,-1.0000
2026-07-06,COL,LAD,9.5,2026-07-07T02:11:00Z,12.9125173320147,over,watch,0.412862085977338,-120,15,7,8,win,0.8333
2026-07-06,HOU,WSN,10.0,2026-07-06T22:46:00Z,11.01768900158821,over,watch,0.18664214282873792,102,23,11,12,win,1.0200
2026-07-06,NYM,ATL,9.0,2026-07-06T23:16:00Z,10.002680217900384,over,watch,0.1289341599249083,-108,13,7,6,win,0.9259
2026-07-06,NYY,TBR,7.5,2026-07-06T22:41:00Z,6.523434803391945,under,lean,0.07060567905119619,-120,6,5,1,win,0.8333
2026-07-06,PHI,KCR,8.5,2026-07-06T18:11:00Z,7.5219348473065395,under,watch,0.11508811954430653,-110,16,1,15,loss,-1.0000
2026-07-06,TOR,SFG,7.5,2026-07-07T01:46:00Z,9.18196072728907,over,watch,0.17796637468419507,-120,11,1,10,win,0.8333
2026-07-07,ARI,SDP,9.0,2026-07-08T01:41:00Z,11.46472559278385,over,watch,0.35149381486766074,-108,5,1,4,loss,-1.0000
2026-07-07,ATL,PIT,8.0,2026-07-07T22:41:00Z,8.641213238272368,over,lean,0.07811473060265905,-106,16,4,12,win,0.9434
2026-07-07,BOS,CHW,8.5,2026-07-07T23:41:00Z,9.685992964550778,over,watch,0.16708472745594927,-106,9,8,1,win,0.9434
2026-07-07,CHC,BAL,9.5,2026-07-07T23:31:00Z,9.743746056685824,over,lean,0.04175393686094786,100,7,5,2,loss,-1.0000
2026-07-07,CLE,MIN,8.5,2026-07-07T23:41:00Z,9.231847115499473,over,lean,0.0558354211174561,-114,4,1,3,loss,-1.0000
2026-07-07,COL,LAD,9.5,2026-07-08T02:11:00Z,10.541645937149177,over,watch,0.12353648863684241,-110,7,4,3,loss,-1.0000
2026-07-07,HOU,WSN,9.0,2026-07-07T22:46:00Z,9.89728743301712,over,watch,0.12016462892361846,-106,9,6,3,push,0.0000
2026-07-07,KCR,NYM,8.5,2026-07-07T23:11:00Z,10.297356433475668,over,watch,0.24143041311253888,-110,28,16,12,win,0.9091
2026-07-07,LAA,TEX,7.0,2026-07-08T00:06:00Z,8.848239580028704,over,watch,0.22327805105604814,-115,11,3,8,win,0.8696
2026-07-07,MIL,STL,8.5,2026-07-07T23:46:00Z,9.038806781849736,over,lean,0.08142737460603855,-102,7,4,3,loss,-1.0000
2026-07-07,NYY,TBR,8.0,2026-07-07T22:41:00Z,8.793923528971108,over,lean,0.08376307799268412,-110,10,4,6,win,0.9091
2026-07-07,PHI,CIN,8.5,2026-07-07T23:10:00Z,9.607423815889293,over,watch,0.1060384587505292,-116,5,4,1,loss,-1.0000
2026-07-07,SEA,MIA,8.0,2026-07-07T22:41:00Z,7.469319279559841,under,lean,0.05033046579293332,-108,11,5,6,loss,-1.0000
2026-07-07,TOR,SFG,8.0,2026-07-08T01:46:00Z,8.467406813960814,over,lean,0.049404287581709116,-106,12,9,3,win,0.9434
2026-07-08,ATH,DET,9.0,2026-07-08T22:41:00Z,5.768116290677804,under,watch,0.48740004603340537,-104,7,1,6,win,0.9615
